Ticker,Trimestre,Lucro líquido,Outras desp/receitas,Res. imóveis estoque,Res. imóveis renda,Resultado TVM,Resultado financeiro
BPFF11,1T2023,-4.230,-418,0,0,-4.193,381
BPFF11,1T2024,10.928,-588,0,0,11.037,479
BPFF11,2T2017,23.378,-1.079,0,0,23.893,564
BPFF11,2T2018,-8.793,-2.435,0,0,-6.554,197
BPFF11,2T2019,24.083,-978,0,0,24.102,959
BPFF11,2T2020,-39.120,-2.124,0,0,-37.283,288
BPFF11,2T2021,-11.529,-2.009,0,0,-9.822,302
BPFF11,2T2023,35.577,-959,0,0,35.740,796
BPFF11,2T2024,6.027,-1.243,0,0,6.326,944
BPFF11,3T2017,8.908,-940,0,0,9.621,226
BPFF11,3T2018,2.616,-564,0,0,3.066,113
BPFF11,3T2019,7.575,-1.275,0,0,8.504,346
BPFF11,3T2020,117,-723,0,0,802,38
BPFF11,3T2021,-1.900,-706,0,0,-1.500,307
BPFF11,3T2023,10.093,-501,0,0,10.017,577
BPFF11,4T2017,13.784,-2.051,0,0,15.457,377
BPFF11,4T2018,18.620,-955,0,0,19.332,243
BPFF11,4T2019,49.902,-2.816,0,0,52.170,548
BPFF11,4T2020,9.941,-2.188,0,0,11.862,267
BPFF11,4T2022,-106.419,-948,0,0,3.748,-109.219
BPML11,1T2020,4.398,982,0,3.322,0,93
BPML11,1T2021,7.464,-1.646,0,5.690,3.351,69
BPML11,1T2022,3.873,-1.405,0,2.368,2.455,455
BPML11,1T2023,1.791,-1.544,0,579,2.610,146
BPML11,1T2024,1.834,-1.605,0,1.841,1.207,392
BPML11,2T2020,142.817,-1.655,0,204.956,-60.800,315
BPML11,2T2023,31.167,-1.683,0,33.548,-1.019,321
BPML11,2T2024,109.958,-2.184,0,35.924,72.916,3.302
BPML11,3T2020,1.354,-1.193,0,2.292,198,57
