Ticker,Trimestre,% despesas,% em caixa,Div. Yield,Inadimplência,Negócios/dia,P/VP,Patrimônio,Qnt. cotas,Qnt. cotistas,VP por cota,Vacância,Valor merc.,Volume diário
RNDP11,2T2018,"91,19%","16,81%","12,15%",0%,5,"0,89","113,28 M","107,5 K",1.174,"1.053,96",0%,"100,71 M","73,42 K"
RNDP11,2T2019,"1,27%","6,39%","9,81%",0%,6,"0,87","115,40 M","107,5 K",1.022,"1.073,64",0%,"100,60 M","91,57 K"
RNDP11,2T2020,"0,85%","14,23%","7,90%",0%,1,"0,85","116,63 M","107,5 K",907,"1.085,11",0%,"98,88 M","24,70 K"
RNDP11,2T2021,"0,38%","6,49%","8,47%",0%,6,"0,92","82,31 M","107,5 K",865,"765,86",0%,"75,77 M","32,19 K"
RNDP11,2T2022,"-0,32%","1,65%","19,73%",0%,6,"0,78","41,45 M","107,5 K",980,"385,68",0%,"32,42 M","14,57 K"
RNDP11,2T2023,"0,26%","4,68%","14,63%",0%,16,"0,67","19,34 M","107,5 K",1.139,"179,98",0%,"12,90 M","9,84 K"
RNDP11,2T2024,"0,63%","10,25%","19,62%",0%,19,"0,85","8,41 M","107,5 K",1.272,"78,21",0%,"7,16 M","11,08 K"
RNDP11,3T2017,"0,97%","6,29%","10,88%",0%,6,"1,00","111,53 M","107,5 K",1.236,"1.037,63",0%,"111,54 M","37,29 K"
RNDP11,3T2018,"0,42%","9,47%","10,78%",0%,3,"0,89","114,10 M","107,5 K",1.134,"1.061,59",0%,"101,14 M","54,23 K"
RNDP11,3T2019,"0,27%","14,25%","9,59%",0%,5,"0,87","115,93 M","107,5 K",977,"1.078,57",0%,"100,64 M","175,52 K"
RNDP11,3T2020,"0,85%","15,98%","7,74%",0%,7,"0,76","116,54 M","107,5 K",865,"1.084,29",0%,"88,19 M","95,93 K"
RNDP11,3T2021,"0,22%","9,86%","8,66%",0%,4,"0,93","82,03 M","107,5 K",855,"763,22",0%,"76,31 M","347,58 K"
RNDP11,3T2022,"0,34%","3,04%","19,57%",0%,10,"0,84","34,72 M","107,5 K",1.022,"323,01",0%,"29,23 M","12,97 K"
RNDP11,3T2023,"0,27%","5,01%","8,65%",0%,12,"0,88","18,73 M","107,5 K",1.173,"174,29",0%,"16,50 M","8,52 K"
RNDP11,4T2017,"0,29%","6,31%","15,07%",0%,8,"0,89","111,95 M","107,5 K",1.245,"1.041,61",0%,"99,42 M","42,48 K"
RNDP11,4T2018,"0,18%","4,03%","10,14%",0%,3,"0,89","115,04 M","107,5 K",1.106,"1.070,35",0%,"102,11 M","44,78 K"
RNDP11,4T2019,"2,28%","10,80%","9,16%",0%,5,"0,89","116,40 M","107,5 K",949,"1.083,02",0%,"103,18 M","168,52 K"
RNDP11,4T2020,"-1,19%","6,54%","7,36%",0%,3,"0,84","100,54 M","107,5 K",858,"935,40",0%,"84,69 M","86,32 K"
RNDP11,4T2021,"0,14%","29,54%","9,81%",0%,5,"0,95","72,38 M","107,5 K",895,"673,43",0%,"68,93 M","285,01 K"
RNDP11,4T2023,"0,54%","12,61%","11,97%",0%,20,"1,07","11,48 M","107,5 K",1.212,"106,79",0%,"12,23 M","13,62 K"
RNGO11,1T2017,"0,16%","1,10%","2,40%",0%,75,"0,97","251,09 M","2,7 M",6.092,"93,83",10%,"244,21 M","210,77 K"
RNGO11,1T2018,"0,19%","1,24%","11,49%",0%,341,"1,02","248,45 M","2,7 M",9.910,"92,84",5%,"253,68 M","476,83 K"
RNGO11,1T2019,"0,23%","1,42%","11,04%",0%,194,"0,91","250,83 M","2,7 M",12.773,"93,73",12%,"227,49 M","325,09 K"
RNGO11,1T2020,"0,08%","1,42%","11,76%",0%,541,"0,72","274,43 M","2,7 M",15.260,"102,55",13%,"196,55 M","536,89 K"
RNGO11,1T2021,"0,07%","1,45%","11,10%",0%,339,"0,64","270,81 M","2,7 M",15.622,"101,20",23%,"172,63 M","330,42 K"
RNGO11,1T2022,"0,11%","1,98%","11,13%",0%,218,"0,56","234,14 M","2,7 M",14.005,"87,50",16%,"130,75 M","143,31 K"
RNGO11,1T2023,"0,10%","1,78%","12,17%",0%,207,"0,55","231,56 M","2,7 M",11.649,"86,53",14%,"128,18 M","83,85 K"
RNGO11,1T2024,"0,10%","1,70%","9,88%",0%,144,"0,59","221,44 M","2,7 M",9.985,"82,75",12%,"131,12 M","100,27 K"
