Ticker,Periodo,Aluguéis,Ativo total,CRIs,Caixa,Disponibilidades,FIIs,Imóveis,Outros,Outros val. pagar,Passivo total,Patrimônio líquido,Rend. a distribuir,Renda fixa,Taxa administração,Taxa performance,Total investido,Títulos privados,Títulos públicos,Valores a receber,Venda de imóveis
AFHI11,4/2023,0,291.659,272.928,447,17.692,1.023,0,0,56,4.511,287.148,4.223,17.245,233,0,273.951,0,0,16,0
AFHI11,4/2024,0,383.214,359.779,0,23.426,0,0,0,55,380,382.834,0,23.426,325,0,359.779,0,0,9,0
AFHI11,5/2023,0,293.209,280.188,0,11.938,1.054,0,0,47,4.435,288.774,4.150,11.938,238,0,281.242,0,0,29,0
AFHI11,5/2024,0,384.355,355.647,0,28.676,0,0,0,45,369,383.986,0,28.676,325,0,355.647,0,0,32,0
AFHI11,6/2023,0,294.864,289.265,0,4.582,996,0,0,33,4.476,290.388,4.200,4.582,243,0,290.260,0,0,22,0
AFHI11,6/2024,0,434.492,388.246,113,46.219,0,0,0,36,4.270,430.222,3.895,46.106,339,0,388.246,0,0,27,0
AFHI11,7/2023,0,294.051,287.384,0,6.093,557,0,0,45,4.340,289.711,4.049,6.093,246,0,287.940,0,0,18,0
AFHI11,7/2024,0,439.166,403.289,0,35.855,0,0,0,39,408,438.758,0,35.855,368,0,403.289,0,0,23,0
AFHI11,8/2023,0,324.809,294.066,0,30.174,555,0,0,41,4.432,320.378,4.132,30.174,258,0,294.621,0,0,15,0
AFHI11,9/2023,0,323.163,279.549,0,43.035,568,0,0,25,5.297,317.865,5.002,43.035,271,0,280.116,0,0,11,0
AGRX11,1/2023,0,56.682,0,0,56.678,0,0,0,4,53,56.629,0,782,49,0,0,0,0,4,0
AGRX11,1/2024,0,144.544,0,4,132.434,0,0,12.110,7,126,144.417,0,2.321,119,0,12.110,0,0,0,0
AGRX11,10/2022,0,48.892,0,0,48.886,0,0,0,103,148,48.744,0,51,41,4,0,0,0,5,0
AGRX11,10/2023,0,97.345,0,0,88.451,0,0,8.497,2,83,97.263,0,1.945,81,0,8.497,0,0,397,0
AGRX11,11/2022,0,51.623,0,8,51.619,0,0,0,0,47,51.576,0,114,43,4,0,0,0,4,0
AGRX11,11/2023,0,100.407,0,0,91.785,0,0,8.618,2,79,100.328,0,5.620,77,0,8.618,0,0,4,0
AGRX11,12/2022,0,56.411,0,167,56.407,0,0,0,4,51,56.359,0,1.116,47,0,0,0,0,3,0
AGRX11,12/2023,0,144.688,0,0,132.382,0,0,12.306,2,386,144.302,0,3.402,93,291,12.306,0,0,0,0
AGRX11,2/2023,0,56.483,0,0,56.481,0,0,0,2,86,56.397,0,912,40,43,0,0,0,2,0
AGRX11,2/2024,0,143.938,0,0,133.200,0,0,10.738,6,218,143.720,0,9.267,102,110,10.738,0,0,0,0
AGRX11,3/2023,0,66.438,0,0,66.435,0,0,0,2,170,66.269,0,5.934,58,110,0,0,0,3,0
AGRX11,3/2024,0,180.374,159.253,0,918,0,0,20.203,4,298,180.076,0,918,142,151,179.456,0,0,0,0
AGRX11,4/2022,0,20.182,0,53,8.325,0,0,11.858,2,27,20.155,0,0,25,0,11.858,0,0,0,0
AGRX11,4/2023,0,66.156,0,0,66.156,0,0,0,2,209,65.947,0,2.566,47,160,0,0,0,0,0
AGRX11,4/2024,0,180.477,154.541,0,2.752,0,0,20.232,4,337,180.140,0,2.752,160,173,174.773,0,0,2.952,0
AGRX11,5/2022,0,21.458,0,0,9.534,0,0,11.915,2,27,21.431,0,38,25,0,11.915,0,0,9,0
AGRX11,5/2023,0,66.453,0,0,66.440,0,0,0,2,242,66.211,0,9.500,57,183,0,0,0,13,0
AGRX11,5/2024,0,180.599,160.321,0,1.993,0,0,18.257,4,388,180.211,0,1.993,153,231,178.578,0,0,28,0
AGRX11,6/2022,0,34.529,0,0,21.054,0,0,12.115,3,30,34.498,0,819,27,0,12.115,0,0,1.360,1.360
AGRX11,6/2023,0,96.992,0,4,87.447,0,0,9.533,2,63,96.929,0,0,61,0,9.533,16.273,16.273,12,0
AGRX11,6/2024,0,179.814,156.122,0,5.334,0,0,18.330,5,494,179.319,4,5.334,142,343,174.452,0,0,28,0
AGRX11,7/2022,0,48.753,0,0,37.280,0,0,11.466,2,40,48.713,0,1.649,38,0,11.466,0,0,7,0
AGRX11,7/2023,0,96.881,0,58,88.546,0,0,8.326,2,83,96.799,0,3.697,81,0,8.326,0,0,10,0
AGRX11,7/2024,0,180.156,161.336,0,1.904,0,0,16.896,0,250,179.906,4,1.904,167,79,178.232,0,0,20,0
AGRX11,8/2022,0,48.811,0,2,38.099,0,0,10.500,625,669,48.142,0,483,44,0,10.500,0,0,212,0
AGRX11,8/2023,0,97.538,0,0,89.063,0,0,8.468,2,90,97.448,0,3.033,88,0,8.468,0,0,7,0
AGRX11,9/2022,0,48.780,0,0,48.775,0,0,0,107,150,48.631,0,613,42,0,0,0,0,6,0
AGRX11,9/2023,0,97.325,0,0,88.859,0,0,8.461,2,79,97.246,0,2.449,77,0,8.461,0,0,5,0
AIEC11,1/2021,2.776,504.080,0,65,20.272,0,479.910,0,18.321,21.080,483.000,2.702,0,58,0,479.910,2.688,2.688,3.899,0
AIEC11,1/2022,3.629,517.101,0,8,27.717,0,484.471,0,22.062,25.401,491.700,2.943,0,46,350,484.471,4.443,4.443,4.913,0
AIEC11,1/2023,7.081,455.640,0,14,4.477,0,442.926,0,-60,1.021,454.619,868,0,212,0,442.926,1.843,1.843,8.237,0
AIEC11,1/2024,6.526,407.105,0,123,9.900,0,390.673,0,67,2.376,404.730,820,6.868,176,1.313,390.673,0,0,6.532,0
AIEC11,10/2020,0,923.302,0,1.057,465.674,0,2.875,454.744,454.802,457.466,465.836,2.605,0,58,0,457.619,163.921,163.921,9,0
AIEC11,10/2021,3.605,510.178,0,13,25.434,0,479.910,0,21.340,24.508,485.670,2.943,0,53,172,479.910,3.475,3.475,4.834,0
